/*Number of Nodes*/
50
/*The Depot*/
43.12710994160809 48.74638504498039 depot
/*The Locations (x_coor y_coor name)*/
10.1223700576443 26.84094919152295 loc1
46.25934448462241 48.51950110571373 loc2
26.85211859101179 33.28127832479267 loc3
31.42983781364883 8.201915305780588 loc4
21.61785626376294 49.30278043139805 loc5
17.92448105196119 10.36943002609803 loc6
11.50570136550617 36.29372753170698 loc7
38.35856133496477 23.95832129733463 loc8
47.98255057723226 41.92397389556715 loc9
15.7410777739015 36.31176814513328 loc10
47.04541793212634 42.54640098212424 loc11
11.11789890016405 34.58966764137577 loc12
11.20426470513475 29.54889858597156 loc13
35.53641928740372 45.22331964520907 loc14
26.12046825343483 45.04099389271639 loc15
10.69612464735919 14.7847019812089 loc16
25.37050575151314 21.32646028110997 loc17
30.49636251572811 29.67626285743626 loc18
1.263840132891414 31.38339610388286 loc19
38.70256588696522 45.485610071172 loc20
41.28547242872973 34.66541540645262 loc21
15.9864723439783 16.74235424425495 loc22
32.93786539268731 15.02024115647906 loc23
31.91721232763148 43.03790857241109 loc24
26.09471620761051 40.06597862381724 loc25
15.8839183583531 3.183763124783279 loc26
4.202567243896577 20.08475102723156 loc27
49.93549304077089 36.82796542411136 loc28
8.798683516997619 6.360387613730828 loc29
44.77565084050188 0.4020706889193093 loc30
31.00427184846581 38.59681971865914 loc31
42.90735046660768 4.416409044291381 loc32
15.07587390939927 48.4822602578204 loc33
26.1521139133391 17.05678693963536 loc34
44.12622363087318 10.32183420895177 loc35
45.67024650881426 7.489483877128045 loc36
3.647853225953019 15.02580019232896 loc37
12.20154886495875 10.07496974122196 loc38
43.53860527777667 2.297593336425974 loc39
27.85289627728958 16.39714905022939 loc40
35.56423757948306 15.92233853681891 loc41
20.88690048159458 26.49649333372108 loc42
28.31204924984657 13.06279372731533 loc43
4.830218799805325 28.61366986334042 loc44
44.45874409783011 18.35883800240449 loc45
32.22853530491221 17.13138365784342 loc46
21.41091767909509 43.48994026593954 loc47
9.303438415012256 38.50141016715379 loc48
41.1773406028333 10.75612065752788 loc49
