/*Number of Nodes*/
20
/*The Depot*/
10.328851074878187 6.849859949023451 depot
/*The Locations (x_coor y_coor name)*/
22.86787911897229 42.035505998366304 loc1
18.445581695650247 30.603351629730348 loc2
7.9181970554343675 19.737957537798103 loc3
18.987736486534 49.4628742268586 loc4
12.731078727239359 29.965789784141762 loc5
23.09319398600917 13.591736746976025 loc6
17.252327267084027 2.1950272432607996 loc7
46.16113097705611 27.219350287982564 loc8
13.029016687552453 38.10035188850854 loc9
4.723407991617123 13.984904805312748 loc10
48.42014739026024 40.15698618555396 loc11
19.931631886150818 7.565543388269081 loc12
38.669530425330045 20.00625628643609 loc13
33.793700878525314 12.780597219353435 loc14
35.329577687659835 6.0298311837332585 loc15
4.659646456733125 36.70517326323448 loc16
38.5625933595745 29.834555677904646 loc17
36.915864730269845 36.488519767581174 loc18
12.208475476413222 2.1635209935440547 loc19
