/*Number of Nodes*/
60
/*The Depot*/
26.05362044508464 31.09117130135019 depot
/*The Locations (x_coor y_coor name)*/
30.9381058818067 49.96860276177856 loc1
41.02210129918215 3.801102434370218 loc2
15.53330241159555 42.73552158634195 loc3
11.25461802607289 43.22345913467109 loc4
27.41511292215526 7.52296535719486 loc5
35.78017135509508 25.6311111936978 loc6
42.40533219722098 44.53598530251124 loc7
21.96402499931132 14.14688245365921 loc8
11.50652734711624 23.27320519130663 loc9
49.56724496293135 27.20694076526922 loc10
9.963211865736071 22.20240215487432 loc11
27.67591046556354 44.45339490857334 loc12
29.57533741468929 21.0814605254348 loc13
43.31793618222439 8.985938431907952 loc14
29.18945730204305 39.71482174347373 loc15
4.434668496303712 38.79612714953515 loc16
26.5420465385077 39.83374752697391 loc17
48.99990057100921 37.46401355253338 loc18
15.33795687839406 15.61178431064859 loc19
42.3273836796013 38.81731767603212 loc20
5.35826276431342 39.34871641094267 loc21
28.84750555572137 17.10993579705672 loc22
38.09164513285853 19.96215243039632 loc23
32.37984841921174 0.84749496401893 loc24
47.41395668602777 26.31726837729438 loc25
23.3906223674471 34.36943624015113 loc26
0.7210443025818747 41.71232850558801 loc27
26.79080303547117 22.22885731730086 loc28
41.56470839407773 45.10298436127509 loc29
34.55412998082081 36.27771827115441 loc30
26.92819197835694 23.50939940367488 loc31
34.49051167872285 10.90756674040297 loc32
5.743954154897823 1.793325119965056 loc33
42.91014102422562 11.06223317655795 loc34
45.92310702395825 40.18450984514115 loc35
41.58435099348687 41.96962084825805 loc36
42.25782905066562 16.24777020601795 loc37
37.63723736564705 14.15708411070742 loc38
34.40782537921155 45.85028146545636 loc39
25.81362859962839 19.89151282195369 loc40
31.23037400476409 1.282491391721968 loc41
40.97167280804159 11.9105167044087 loc42
26.04258591353312 21.04461736077196 loc43
4.724176011942626 6.795136353649661 loc44
3.480703695742515 49.4081818193021 loc45
25.36330745366858 36.04801914577138 loc46
4.810592179727957 45.19034535517338 loc47
39.37664300702761 3.125068097585748 loc48
5.749835242341411 41.97424466096059 loc49
25.81833315409964 30.62424386619938 loc50
6.259699782009426 28.22687778219821 loc51
6.52301535647466 37.3826698548409 loc52
48.9127118247517 17.8267556895842 loc53
35.69127484998776 36.01950819089721 loc54
26.5816393437354 17.28116637880839 loc55
31.57933446174165 26.16342882804476 loc56
29.77998579027856 23.05129315340292 loc57
13.20840262596834 28.54357772964883 loc58
46.85664112912634 42.90195205494717 loc59
